No	| English	| Vietnamese
2318	| quickly	| nhanh
2319	| quiet	| lặng, yên lặng, yên tĩnh
2320	| quietly	| lặng, yên lặng, yên tĩnh
2321	| quit	| thoát,thoátra
2322	| quite	| hoàn toàn, hầu hết
2323	| quote	| trích dẫn
2324	| race	| loài, chủng, giống; cuộc đua; đua
2325	| racing	| cuộc đua
2326	| radio	| sóng vô tuyến, radio
2327	| rail	| đường ray
2328	| railway	| đường sắt
2329	| rain	| mưa, cơn mưa; mưa
2330	| raise	| nâng lên, đưa lên, ngẩng lên
2331	| range	| dãy, hàng, loại; phạm vi, trình độ
2332	| rank	| hàng, dãy; sắp xếp thành hàng, dãy
2333	| rapid	| nhanh, nhanh chóng
2334	| rapidly	| nhanh, nhanh chóng
2335	| rare	| hiếm, ít
2336	| rarely	| hiếm khi, ít khi
2337	| rate	| tỷ lệ, tốc độ
2338	| rather	| thà.. còn hơn, thích... hơn. rather: than hơn là
2339	| raw	| sống (# chín), thô, còn nguyên chất
2340	| re	| null
2341	| reach	| đến, đi đến, tới
2342	| react	| tácđộngtrởlại,phảnứng
2343	| reaction	| sựphản ứng;sựphảntácdụng
2344	| read	| đọc
2345	| reader	| người đọc, độc giả
2346	| reading	| sự đọc
2347	| ready	| sẵn sàng
2348	| real	| thực, thực tế, có thật
2349	| realistic	|  hiện thực
2350	| reality	| sự thật, thực tế, thực tại
2351	| realize	| thực hiện, thực hành; thấy rõ, hiể rõ, nhận thức rõ (việc gì...)
2352	| really	| thực, thực ra, thực sự
2353	| rear	| phíasau;ởđằngsau,ởđằngsau
2354	| reason	| lý do, lý lẽ
2355	| reasonable	| có lý, hợp lý
2356	| reasonably	| hợp lý
2357	| recall	| gọi về, triệu hồi; nhắc lại, gợi lại
2358	| receipt	| công thức; đơn thuốc
2359	| receive	| nhận, lĩnh, thu
2360	| recent	| gần đây, mới đây
2361	| recently	| gần đây, mới đây
2362	| reception	| sự nhận, sự tiếp nhận, sự đón tiế
2363	| reckon	| tính, đếm
2364	| recognition	| sự công nhận, sự thưa nhận
2365	| recognize	| nhận ra, nhận diện; công nhận, thưa nhận
2366	| recommend	| giớithiệu,tiến cử; đềnghị,khuyênbảo
2367	| record	| bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
2368	| recording	| sự ghi, sự thu âm
2369	| recover	| lấy lại, giành lại
2370	| red	| đỏ; màu đỏ
2371	| reduce	| giảm, giảm bớt
2372	| reduction	| sự giảm giá, sự hạ giá
2373	| refer to	| xem, tham khảo; ám chỉ, nhắc đế
2374	| reference	| sự tham khảo, hỏi ý kiến
2375	| reflect	| phản chiếu, phản hồi, phản ánh
2376	| reform	| cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
2377	| refrigerator	| tủ lạnh
2378	| refusal	| sự từ chối, sự khước từ
2379	| refuse	| từ chối, khước từ
2380	| regard	| nhìn,đánhgiá; cáinhìn,sựquan tâm,sựchúý (lờichúctụngcuối thư)
2381	| regarding	| về, về việc, đối với (vấn đề...)
2382	| region	| vùng,miền
2383	| regional	| vùng, địa phương
2384	| register	| đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
2385	| regret	| đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
2386	| regular	| thường xuyên, đều đặn
2387	| regularly	| đều đặn, thường xuyên
2388	| regulation	| sự điều chỉnh, điều lệ, quy tắc
2389	| reject	| không chấp nhận, loại bỏ, bác bỏ
2390	| relate	| kể lại, thuật lại; liên hệ, liên quan
2391	| related	| có liên quan, có quan hệ với ai, cái gì
2392	| relation	| mốiquanhệ,sự liênquan,liênlạc
2393	| relationship	| mối quan hệ, mối liên lạc
2394	| relative	| có liên quấn đến; người có họ, đạ từ quan hệ
2395	| relatively	| có liên quan, có quan hệ
2396	| relax	| giải trí, nghỉ ngơi
2397	| relaxed	| thanh thản, thoải mái
2398	| relaxing	| làm giảm, bớt căng thẳng
2399	| release	| làmnhẹ,bớt,thả,phóngthích,pháthành;sự giảithoát,thoátkhỏi, sự thả, phóng thích, sự phát hành
2400	| relevant	| thích hợp, có liên quan
2401	| relief	| sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấp; sự đền bù
2402	| religion	| tôn giáo
2403	| religious	| (thuộc) tôn giáo
2404	| rely on	| tin vào, tin cậy, tin tưởng vào
2405	| remain	| còn lại,vẫncònnhưcũ
2406	| remaining	| còn lại
2407	| remains	| đồ thưa, cái còn lại
2408	| remark	| sựnhậnxét,phêbình,sự đểý,chúý;nhậnxét,phêbình,đểý,chúý
2409	| remarkable	| đáng chú ý, đáng để ý; khác thường
2410	| remarkably	| đáng chú ý, đáng để ý; khác thường
2411	| remember	| nhớ, nhớ lại
2412	| remind	| nhắc nhở, gợi nhớ
2413	| remote	| xa, xa xôi, xa cách
2414	| removal	| viêc di chuyển, việc dọn nhà, dời đi
2415	| remove	| dời đi, di chuyển
2416	| rent	| sự thuê mướn; cho thuê, thuê
2417	| rented	| đượcthuê,đượcmướn
2418	| repair	| sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
2419	| repeat	| nhắc lại, lặp lại
2420	| repeated	| được nhắc lại, được lặp lại
2421	| repeatedly	| lặpđilặp lạinhiềulần
2422	| replace	| thay thế
2423	| reply	| sự trả lời, sự hồi âm; trả lời, hồi âm
2424	| report	| báo cáo, tường trình; bản báo cáo, bản tường trình
2425	| represent	| miêu tả, hình dung; đại diện, thay mặt
2426	| representative	| điều tiêu biểu, tượngtrưng,mẫu;miêu tả, biểuhiện,đại diện,tượng trưng
2427	| reproduce	| tái sản xuất
2428	| reputation	| sự nổi tiếng, nổi danh
2429	| request	| lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
2430	| require	| đòi hỏi, yêu cầu, quy định
2431	| requirement	| nhucầu,sự đòi hỏi;luậtlệ,thủtục
2432	| rescue	| giảithoát,cứunguy;sự giảithoát,sự cứunguy
2433	| research	| sự nghiên cứu
2434	| reservation	| sự hạn chế, điều kiện hạn chế
2435	| reserve	| dựtrữ,đểdành,đặt trước,đăngký trước; sự dự trữ, sự đểdành,sự đặt trước, sự đăng ký trước
2436	| resident	| người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
2437	| resist	| chống lại, phản đổi, kháng cự
2438	| resistance	| sự chống lại, sự phản đối, sự kháng cự
2439	| resolve	| quyết định, kiên quyết (làm gì); giải quyết (vấn đề, khó khă(n).)
2440	| resort	| kế sách, phương kế
2441	| resource	| tàinguyên;kếsách,thủđoạn
2442	| respect	| sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
2443	| respond	| hưởng ứng, phản ứng lại, trả lời
2444	| response	| sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
2445	| responsibility	| trách nhiệm, sự chịu trách nhiệm
2446	| responsible	| chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
2447	| rest	| sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi. the rest vật, cái còn lại, những người, cái khác
2448	| restaurant	| nhà hàng ăn, hiệu ăn
2449	| restore	| hoànlại,trảlại; sửachữalại,phụchồilại
2450	| restrict	| hạn chế, giới hạn
2451	| restricted	| bịhạnchế,cógiớihạn;vùngcấm
2452	| restriction	| sự hạn chế, sự giới hạn
2453	| result	| kết quả; bởi, do.. mà ra, kết quả là...
2454	| retain	| giữ lại, nhớ được
2455	| retire	| rời bỏ, rút về; thôi, nghỉ việc, về hưu
2456	| retired	| ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
2457	| retirement	| sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
2458	| return	| trở lại, trở về; sự trở lại, sự trở về
2459	| reveal	| bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
2460	| reverse	| đảo, ngược lại; điều trái ngược, mặt trái
2461	| review	| sựxemlại, sựxétlại;làmlại,xem xétlại
2462	| revise	| đọc lại, xem lại, sửa lại, ôn lại
2463	| revision	| sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
2464	| revolution	| cuộc cách mạng
2465	| reward	| sựthưởng,phầnthưởng; thưởng, thưởngcông
2466	| rhythm	| nhịp điệu
2467	| rice	| gạo, thóc, cơm; cây lúa
2468	| rich	| giàu, giàu có
2469	| rid	| giải thoát (get rid of : tống khứ)
2470	| ride	| đi, cưỡi (ngựa); sự đi, đường đi
2471	| rider	| ngườicưỡingựa, người đixeđạp
2472	| ridiculous	| buồn cười, lố bịch, lố lăng
2473	| riding	| mônthểthấocưỡingựa, sự đixe(bus,điện,xeđạp)
2474	| right	| thẳng, phải, tốt; ngấy, đúng; điều thiện, điều phải, tốt, bên phải
2475	| rightly	| đúng, phải, có lý
2476	| ring	| chiếc nhẫn, đeo nhẫn cho ai
2477	| rise	| sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc (mặt trời), thành đạt
2478	| risk	| sự liều, mạo hiểm; liều
2479	| rival	| đối thủ, địch thủ; đối địch, cạnh tranh
2480	| river	| sông
2481	| road	| con đường, đường phố
2482	| rob	| cướp, lấy trộm
2483	| rock	| đá
2484	| role	| vai(diễn),vaitrò
2485	| roll	| cuốn, cuộn,sựlăntròn; lăn,cuốn,quấn,cuộn
2486	| romantic	| lãng mạn
2487	| roof	| mái nhà, nóc
2488	| room	| phòng, buồng
2489	| root	| gốc, rễ
2490	| rope	| dây cáp, dây thưng, xâu, chuỗi
2491	| rough	| gồ ghề, lởm chởm
2492	| roughly	| gồ ghề, lởm chởm
2493	| round	| tròn, vòng quanh, xung quanh
2494	| rounded	| bị làm thành tròn; phát triển đầy đủ
2495	| route	| đường đi, lộ trình, tuyến đường
2496	| routine	| thói thường, lệ thường, thủ tục; thường lệ, thông thường
2497	| row	| hàng, dãy
2498	| royal	| (thuộc) vua, nữ hoàng, hoàng gia
2499	| rub	| cọ xát, xoa bóp, nghiền, tán
2500	| rubber	| cao su
2501	| rubbish	| vật vô giá trị, bỏ đi, rác rưởi
2502	| rude	| bất lịch sự, thô lỗ; thô sơ, đơn giản
2503	| rudely	| bất lịch sự, thô lỗ; thô sơ, đơn giản
2504	| ruin	| làm hỏng, làm đổ nát, làm phá sản; sự hỏng, sự đổ nát, sự phá sản
2505	| ruined	| bị hỏng, bị đổ nát, bị phá sản
2506	| rule	| quy tắc, điều lệ, luật lệ; cai trị, chỉ huy, điều khiển
2507	| ruler	| người cai trị, ngườitrịvì;thướckẻ
2508	| rumour	| tin đồn, lời đồn
2509	| run	| chạy; sự chạy
2510	| runner	| người chạy
2511	| running	| sự chạy, cuộc chạy đua
2512	| rural	| (thuộc)nông thôn,vùngnôngthôn
2513	| rush	| xônglên,laovào,xôđẩy;sựxônglên,sựlaovào,sựxôđẩy
2514	| sack	| bao tải; đóng bao, bỏ vào bao
2515	| sad	| buồn, buồn bã
2516	| sadly	| một cách buồn bã, đáng buồn là, không may mà
2517	| sadness	| sự buồn rầu, sự buồn bã
2518	| safe	| an toàn, chắc chắn, đáng tin
2519	| safely	| an toàn, chắc chắn, đáng tin
2520	| safety	| sự an toàn, sự chắc chăn
2521	| sail	| đi tàu, thuyền, nhổ neo; buồm, cánh buồm, chuyến đi bằng thuyền buồm
2522	| sailing	| sự đi thuyền
2523	| sailor	| thủy thủ
2524	| salad	| salát(xàláchtrộngdầu dấm); rausống
2525	| salary	| tiền lương
2526	| sale	| việc bán hàng
2527	| salt	| muối
2528	| salty	| chứa vị muối, có muối, mặn
2529	| same	| đều đều, đơn điệu; cũng như thế, vẫn cái đó
2530	| sample	| mẫu,hàngmẫu
2531	| sand	| cát
2532	| satisfaction	| sựlàmcho thỏa mãn,toạinguyệnsựtrảnợ,bồithường
2533	| satisfied	| cảm thấy hài lòng, vưa ý, thoả mãn
2534	| satisfy	| làm thỏa mãn, hài lòng; trả (nợ), chuộc tội
2535	| satisfying	| đem lại sự thỏa mãn, làm thỏa mãn, làm vưa ý
2536	| saturday (abbr sat)	| thứ 7
2537	| sauce	| nước xốt, nước chấm
2538	| save	| cứu, lưu
2539	| saving	| sự cứu, sự tiết kiệm
2540	| say	| nói
2541	| scale	| vảy (cá..), tỷ lệ
2542	| scare	| làm kinh hãi, sợ hãi, dọa; sự sợ hãi, sự kinh hoàng
2543	| scared	| bị hoảng sợ, bị sợ hãi
2544	| scene	| cảnh, phong cảnh
2545	| schedule	| kế hoạch làm việc, bản liệt kê; lên thời khóa biểu, lên kế hoạch
2546	| scheme	| sự sắp xếp, sự phối hợp; kế hoạch thực hiện; lược đồ, sơ đồ
2547	| school	| đàn cá, bầy cá, trường học, học đường
2548	| science	| khoa học, khoa học tự nhiên
2549	| scientific	| (thuộc) khoa học, có tính khoa họ
2550	| scientist	| nhà khoa học
2551	| scissors	| cái kéo
2552	| score	| điểm số, bản thắng, tỷ số; đạt được, thành công, cho điểm
2553	| scratch	| cào,làmxước da; sự cào, sựtrầyxước da
2554	| scream	| gào thét, kêu lên; tiếng thét, tiếng kêu to
2555	| screen	| màn che, màn ảnh, màn hình; phim ảnh nói chung
2556	| screw	| đinh vít, đinh ốc; bắt vít, bắt ốc
2557	| sea	| biển
2558	| seal	| hảicẩu;sănhảicẩu
2559	| search	| sự tìm kiếm, sự thăm dò, sự điều tra; tìm kiếm, thăm dò, điều tra
2560	| season	| mùa
2561	| seat	| ghế, chỗ ngồi
2562	| second	| thứ hai, ở vị trí thứ 2, thứ nhì; người về nhì
2563	| secondary	| trung học, thứ yếu
2564	| secret	| bí mật; điều bí mật
2565	| secretary	| thư ký
2566	| secretly	| bí mật, riêng tư
2567	| section	| mục, phần
2568	| sector	| khu vực, lĩnh vực
2569	| secure	| chắc chắn, đảm bảo; bảo đảm, giữ an ninh
2570	| security	| sự an toàn, sự an ninh
2571	| see	| nhìn, nhìn thấy, quan sát
2572	| seed	| hạt, hạt giống
2573	| seek	| tìm, tìm kiếm, theo đuổi
2574	| seem linking	| có vẻ như, dường như
2575	| select	| chọn lựa, chọn lọc
2576	| selection	| sự lựa chọn, sự chọc lọc
2577	| self	| bản thân mình
2578	| sell	| bán
2579	| senate	| thượng nghi viện, ban giám hiệu
2580	| senator	| thượng nghị sĩ
2581	| send	| gửi, phái đi
2582	| senior	| nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cấo đẳng
2583	| sense	| giác quan, tri giác, cảm giác
2584	| sensible	| có óc xét đoán; hiểu, nhận biết được
2585	| sensitive	| dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
2586	| sentence	| câu
2587	| separate	| khác nhau, riêng biệt; làm rời, tác ra, chia tay
2588	| separated	| ly thân
2589	| separately	| không cùng nhau, thành người riêng, vật riêng
2590	| separation	| sự chia cắt, phân ly, sự chia tay, l thân
2591	| september	| tháng 9
2592	| series	| loạt, dãy, chuỗi
2593	| serious	| đứng đắn, nghiêm trang
2594	| seriously	| đứng đắn, nghiêm trang
2595	| servant	| người hầu, đầy tớ
2596	| serve	| phục vụ, phụng sự
2597	| service	| sự phục vụ, sự hầu hạ
2598	| session	| buổi họp, phiên họp, buổi, phiên
2599	| set	| bộ, bọn, đám, lũ; đặt để, bố trí
2600	| settle	| giải quyết, dàn xếp, hòa giải, đặt, bố trí
2601	| several	| vài
2602	| severe	| khắt khe,gay gắt(tháiđộ, cưxử);giảndị,mộc mạc (kiểucách,trang phục, dung nhan)
2603	| severely	| khắt khe,gay gắt(tháiđộ, cưxử);giảndị,mộc mạc (kiểucách,trang phục, dung nhan)
2604	| sew	| may, khâu
2605	| sewing	| sự khâu, sự may vá
2606	| sex	| giới, giống
2607	| sexual	| giới tính, các vấn đề sinh lý
2608	| sexually	| giới tính, các vấn đề sinh lý
2609	| shade	| bóng, bóng tối
2610	| shadow	| bóng, bóng tối, bóng râm, bóng mát
2611	| shake	| rung, lắc, giũ; sự rung, sự lắc, sự giũ
2612	| shall	| dự đoán tương lai: sẽ
2613	| shallow	| nông, cạn
2614	| shame	| sựxấu hổ, thẹnthùng,sựngượng
2615	| shape	| hình, hình dạng, hình thù
2616	| shaped	| có hình dáng được chỉ rõ
2617	| share	| đónggóp,thamgia, chia sẻ;phần đónggóp,phầnthamgia,phần chia sẻ
2618	| sharp	| sắc, nhọn, bén
2619	| sharply	| sắc, nhọn, bén
2620	| shave	| cạo (râu), bào, đẽo (gỗ)
2621	| she	| nó, bà ấy, chị ấy, cô ấy...
2622	| sheep	| con cừu
2623	| sheet	| chăn, khăn trải giường; lá, tấm, phiến, tờ
2624	| shelf	| kệ, ngăn, giá
2625	| shell	| vỏ, mai; vẻ bề ngoài
2626	| shelter	| sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
2627	| shift	| đổichỗ,dờichỗ,chuyển,giao; sựthấyđổi, sựluânphiên
2628	| shine	| chiếu sáng, tỏa sáng
2629	| shiny	| sáng chói, bóng
2630	| ship	| tàu, tàu thủy
2631	| shirt	| áo sơ mi
2632	| shock	| sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
2633	| shocked	| bị kích động, bị va chạm, bị sốc
2634	| shocking	| gây ra căm phẫn, tồi tệ, gây kích động
2635	| shoe	| giày
2636	| shoot	| vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
2637	| shooting	| sự bắn, sự phóng đi
2638	| shop	| cửa hàng; đi mua hàng, đi chợ
2639	| shopping	| sự mua sắm
2640	| short	| ngắn, cụt
2641	| shortly	| trong thời gian ngắn, sớm
2642	| shot	| đạn, viên đạn
2643	| should	| nên
2644	| shoulder	| vai
2645	| shout	| hò hét, reo hò; sự la hét, sự hò reo
2646	| show	| biểu diễn, trưng bày; sự biểu diễn sự bày tỏ
2647	| shower	| vòi hoa sen, sự tắm vòi hoa sen
2648	| shut	| đóng, khép,đậy;tínhkhépkín
2649	| shy	| nhút nhát, e thẹn
2650	| sick	| ốm, đau, bệnh
2651	| side	| mặt, mặt phẳng
2652	| sideways	| ngang, từ một bên; sang bên
2653	| sight	| cảnh đẹp; sự nhìn
2654	| sign	| dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
2655	| signal	| dấu hiệu, tín hiệu; ra hiệu, báo hiệu
2656	| signature	|  chữ ký
2657	| significant	| nhiều ý nghĩa, quan trọng
2658	| significantly	| đáng kể
2659	| silence	| sự im lặng, sự yên tĩnh
2660	| silent	| im lặng, yên tĩnh
2661	| silk	| tơ, chỉ, lụa
2662	| silly	| ngớ ngẩn, ngu ngốc, khờ dại
2663	| silver	| bạc, đồng bạc; làm bằng bạc, trắng như bạc
2664	| similar	| giống như, tương tự như
2665	| similarly	| tương tự, giống nhau
2666	| simple	| đơn, đơn giản, dễ dàng
2667	| simply	| một cách dễ dàng, giản dị
2668	| since	| từ, từ khi, từ lúc đó; từ đó, từ lúc ấy
2669	| sincere	| thật thà, thẳng thắng, chân thành
2670	| sincerely	| một cách chân thành
2671	| sing	| hát, ca hát
2672	| singer	| ca sĩ
2673	| singing	| sự hát, tiếng hát
2674	| single	| đơn, đơn độc, đơn lẻ
2675	| sink	| chìm, lún, đắm
2676	| sir	| xưng hô lịch sự ngài, ông
2677	| sister	| chị, em gái
2678	| sit	| ngồi. sit down: ngồi xuống
2679	| situation	| hoàn cảnh, địa thế, vị trí
2680	| size	| cỡ. đã được định cỡ
2681	| skilful	| tài giỏi, khéo tay
2682	| skilfully	| tài giỏi, khéo tay
2683	| skill	| kỹ năng, kỹ sảo
2684	| skilled	| có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
2685	| skin	| da, vỏ
2686	| skirt	| váy, đầm
2687	| sky	| trời, bầu trời
2688	| sleep	| ngủ; giấc ngủ
2689	| sleeve	| tay áo, ống tay
2690	| slice	| miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
2691	| slide	| trượtc,chuyểnđộngnhẹ,lướtqua
2692	| slight	| mỏng manh, thon, gầy
2693	| slightly	| mảnh khảnh, mỏng manh, yếu ớt
2694	| slip	| trượt, tuột, trôi qua, chạy qua
2695	| slope	| dốc, đường dốc, độ dốc; nghiêng, dốc
2696	| slow	| chậm, chậm chạp
2697	| slowly	| một cách chậm chạp, chậm dần
2698	| small	| nhỏ, bé
2699	| smart	| mạnh,ác liệt,khéoléo,khônkhéo
2700	| smash	| đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
2701	| smell	| ngửi; sự ngửi, khứu giác
2702	| smile	| cười, mỉm cười; nụ cười, vẻ tươi cười
2703	| smoke	| khói, hơi thuốc; hút thuốc, bốc khói, hơi
2704	| smoking	| sự hút thuốc
2705	| smooth	| nhẵn, trơn, mượt mà
2706	| smoothly	| một cách êm ả, trôi chảy
2707	| snake	| con rắn; người nham hiểm, xảo tr
2708	| snow	| tuyết; tuyết rơi
2709	| so	| như vậy, như thế; vì thế, vì vậy, vì thế cho nên so thất để, để cho, để mà
2710	| soap	| xà phòng
2711	| social	| có tính xã hội
2712	| socially	| có tính xã hội
2713	| society	| xã hội
2714	| sock	| tất ngắn, miếng lót giày
2715	| soft	| mềm, dẻo
2716	| softly	| một cách mềm dẻo
2717	| software	| phần mềm (m.tính)
2718	| soil	| đất trồng; vết bẩn
2719	| soldier	| lính, quân nhân
2720	| solid	| rắn; thể rắn, chất rắn
2721	| solution	| sự giải quyết, giải pháp
2722	| solve	| giải, giải thích, giải quyết
2723	| some	| một it, một vài
2724	| somebody, someone	| người nào đó
2725	| somehow	| không biết làm sao, bằng cách này hay cách khác
2726	| something	| một điều gì đó, mộtviệcgì đó,mộcái gìđó
2727	| sometimes	| thỉnh thoảng, đôi khi
2728	| somewhat	| đến mức độnàođó, hơi, mộtchút
2729	| somewhere	| nơi nào đó. đâu đó
2730	| son	| con trai
2731	| song	| bài hát
2732	| soon	| sớm, chẳng bao lâu nữa. as soon as ngay khi
2733	| sore	| đau, nhức
2734	| sorry	| xinlỗi,lấy làmtiếc,lấy làmbuồn
2735	| sort	| thứ, hạng loại; lựa chọn, sắp xếp, phân loại
2736	| soul	| tâm hồn, tâm trí, linh hồn
2737	| sound	| âmthanh;nghe
2738	| soup	| xúp, canh, cháo
2739	| sour	| chua, có vị giấm
2740	| source	| nguồn
2741	| south	| phươngnam, hướng nam;ởphíanam; hướngvềphíanam
2742	| southern	| thuộc phương nam
2743	| space	| khoảng trống, khoảngcách,khônggian
2744	| spare	| thưa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
2745	| speak	| nói
2746	| speaker	| người nói, người diễn thuyết
2747	| special	| đặc biệt, riêng biệt
2748	| specialist	| chuyên gia, chuyên viên
2749	| specially	| đặc biệt, riêng biệt
2750	| specific	| đặc trưng, riêng biệt
2751	| specifically	| đặc trưng, riêng biệt
2752	| speech	| sự nói, khả năng nói, lời nói, cách nói, bài nói
2753	| speed	| tốc độ, vận tốc
2754	| spell	| đánhvần;sựthuhút,sựquyếnrũsaymê
2755	| spelling	| sự viết chính tả
2756	| spend	| tiêu, xài
2757	| spice	| gia vị
2758	| spicy	| có gia vị
2759	| spider	| con nhện
2760	| spin	| quay, quay tròn
2761	| spirit	| tinh thần, tâm hồn, linh hồn
2762	| spiritual	| (thuộc) tinh thần, linh hồn
2763	| spite	| sự giận, sự hận thù; in spite of: mặc dù, bất chấp
2764	| split	| chẻ, tách,chia ra; sựchẻ,sự tách sự chiara
2765	| spoil	| cướp, cướp đọat
2766	| spoken	| nói theo1 cáchnàođó
2767	| spoon	| cái thìa
2768	| sport	| thể thao
2769	| spot	| dấu, đốm, vết
2770	| spray	| máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
2771	| spread	| trải, căng ra, bày ra; truyền bá
2772	| spring	| mùa xuân
2773	| square	| vuông, vuông vắn; dạng hình vuông, hình vuông
2774	| squeeze	| ép,vắt,xiết;sự ép, sựvắt,sựxiết
2775	| stable	| ổn định, bình tĩnh, vững vàng; chuồng ngựa
2776	| staff	| gậy
2777	| stage	| tầng, bệ, sân khấu, giai đoạn
2778	| stair	| bậc thang
2779	| stamp	| tem; dán tem
2780	| stand	| đứng, sự đứng. stand up: đứng đậy
2781	| standard	| tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
2782	| star	| ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
2783	| stare	| nhìm chằm chằm; sự nhìn chằm chằm
2784	| start	| bắt đầu, khởi động; sự bắt đầu, s khởi đầu, khởi hành
2785	| state	| nhànước,quốcgia,chính quyền;(thuộc)nhànước, có liênquanđếnnhà nước;phátbiểu,tuyênbố
2786	| statement	| sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
2787	| station	| trạm, điểm, đồn
2788	| statue	| tượng
2789	| status	| tình trạng
2790	| stay	| ở lại, lưu lại; sự ở lại, sự lưu lại
2791	| steadily	| vững chắc, vững vàng, kiên định
2792	| steady	| vững chắc, vững vàng, kiến định
2793	| steal	| ăn cắp, ăn trộm
2794	| steam	| hơi nước
2795	| steel	| thép, ngành thép
2796	| steep	| dốc, dốc đứng
2797	| steeply	| dốc, cheo leo
2798	| steer	| lái (tàu, ô tô...)
2799	| step	| bước; bước, bước đi
2800	| stick	| đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
2801	| stick out, stick for	| đòi, đạt được cái gì
2802	| sticky	| dính; sánh; bầy nhầy, nhớp nháp
2803	| stiff	| cứng, cứng rắn, kiên quyết
2804	| stiffly	| cứng, cứng rắn, kiên quyết
2805	| still	| đứng yên; vẫn, vẫn còn
2806	| sting	| châm, chích, đốt; ngòi, vòi (ong, muỗi), nọc (rắn); sự châm, chích..
2807	| stir	| khuấy,đảo
2808	| stock	| kho sự trữ, hàng dự trữ, vốn
2809	| stomach	| dạ dày
2810	| stone	| đá
2811	| stop	| dừng,ngưng,nghỉ,thôi;sự dừng, sựngưng,sự đỗlại
2812	| store	| cửa hàng, kho hàng; tích trữ, cho vào kho
2813	| storm	| cơn giông, b~o
2814	| story	| chuyện, câu chuyện
2815	| stove	| bếp lò, lò sưởi
2816	| straight	| thẳng, không cong
2817	| strain	| sự căng thẳng, sự căng
2818	| strange	| xa lạ, chưa quen
2819	| strangely	| lạ, xa lạ, chưa quen
2820	| stranger	| người lạ
2821	| strategy	| chiến lược
2822	| stream	| dòng suối
2823	| strength	| sức mạnh, sức khỏe
2824	| stress	| sự căng thẳng; căng thẳng, ép, làm căng
2825	| stressed	| bị căng thẳng, bị ép, bị căng
2826	| stretch	| căng ra, duỗi ra, kéo dài ra
2827	| strict	| nghiêm khắc, chặt chẽ,, khắt khe
2828	| strictly	| một cách nghiêm khắc
2829	| strike	| đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
2830	| striking	| nổi bật, gây ấn tượng
2831	| string	| dây, sợi dây
2832	| strip	| cởi, lột (quần áo); sự cởi quần áo
2833	| stripe	| sọc, vằn, viền
2834	| striped	| có sọc, có vằn
2835	| stroke	| cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
2836	| strong	| khỏe, mạnh, bền, vững, chắc chắ
2837	| strongly	| khỏe, chắc chắn
2838	| structure	| kết cấu, cấu trúc
2839	| struggle	| đấu tranh; cuộc đấu tranh, cuộc chiến đấu
2840	| student	| sinh viên
2841	| studio	| xưởng phim, trường quay; phòng thu
2842	| study	| sự học tập, sự nghiên cứu; học tập, nghiên cứu
2843	| stuff	| chất liệu, chất
2844	| stupid	| ngu ngốc, ngu đần, ngớ ngẩn
2845	| style	| phong cách, kiểu, mẫu, loại
2846	| subject	| chủ đề, đề tài; chủ ngữ
2847	| substance	| chất liệu; bản chất; nội dung
2848	| substantial	| thực tế, đáng kể, quan trọng
2849	| substantially	| về thực chất, về căn bản
2850	| substitute	| người, vật thay thế; thay thế
